Feature,HR_PC1,HR_PC2,HR_PC3,HR_PC4,HR_PC5,HR_PC6,HR_PC7,HR_PC8,HR_PC9,HR_PC10,HR_PC11,HR_PC12,HR_PC13,HR_PC14,HR_PC15,HR_PC16,HR_PC17
EX_RMSSD_ms,0.2117096092756061,0.007681646038490385,-0.14708323210509228,0.07209886077379693,-0.04894226428864403,0.009051911747024749,-0.008725527063759566,0.017213488619462758,-0.05086016624301824,0.01900055430309536,-0.12624634911808036,0.018109542977372686,-0.0309449297550028,0.07947820704789309,-0.1993877946455185,-0.3338563904229909,0.021628473875987382
EX_SDNN_ms_log,0.21429491233937792,0.14624848490473474,-0.05161407039258861,0.16313988251057226,-0.02056178787181505,0.07098535033122469,-0.041015038753435394,-0.010206808105526367,-0.058677748142470454,-0.03491840547981415,0.005808292038180148,-0.028899086204307842,-0.08839973772400211,-0.05982605033637717,-0.007233521504586768,-0.0421717833177,0.09300027950647
EX_pNNxx_pct,0.16663241318207958,-0.02162021691024913,0.07844163822459949,0.055912939764695746,0.19006721321269415,0.2712613963410384,-0.08268639173138215,0.014250530268679229,-0.06317380506222284,-0.06690510449999384,-0.08879909600988967,0.02835679941494309,-0.28339160997007734,0.5110950425787775,-0.1411803585879397,-0.30874712959470013,0.1419077226153527
EX_Mean_RR_ms,0.11958851519970107,-0.24099428188766464,0.030492762357322623,0.07737364598000371,-0.015593302660977498,0.0518746828991629,0.06319698283853473,0.07344302826869266,0.041083594424318665,-0.09279042070367584,-0.22551648564607613,0.16339915803186553,-0.07617386133198403,-0.06004604698132014,-0.43996889611556406,0.4409127515885719,0.25821967150375524
EX_Mean_HR_bpm,-0.1251011642404479,0.3114010566450075,0.06840190333740147,-0.010360778682004024,0.04516965944823964,-0.04861727154032703,-0.06709302400141155,-0.10232801106000156,-0.03491139532950184,-0.007184675301841463,0.10125835310964393,-0.06593360786961916,0.0051111290513475086,0.017355860829211957,0.08350845326578793,-0.12995883697000382,-0.03599321209518941
EX_RR_tri_index,0.160691975737077,0.04667456285093452,0.19297501811431128,0.18520641546383593,0.024072490852004302,0.24742488128374485,-0.1256564970483854,0.0004962353476355846,0.10845830187367006,0.020346655699674553,-0.019812337663486196,-0.01467408166013917,0.05356302674344773,0.08512136105588317,-0.13268122914319838,-0.1390697230173984,-0.04378577331757434
EX_TINN_ms_log,0.19198509201985414,-0.20666857261650434,-0.15455468361758484,0.02400207578631597,-0.03999113294429396,0.044420282723461976,0.0027848934356765193,0.044910517965666835,0.009314496038990372,0.014982826133856111,-0.03330034018187655,-0.005031716580229675,-0.010655678952222941,-0.048596727818030844,0.12060557123543,0.019879621819452686,0.0054924942288760124
EX_LF_abs_FFT_log,0.1892644366995685,0.11225694819941015,-0.007237518850610379,0.2940625398376282,-0.07925256123550528,0.09254536552835918,-0.11739256826620367,-0.0027975278360765354,0.016656683611231606,-0.03051059001112703,-0.027028565971294105,-0.04301176174991913,0.033891193347971374,-0.17535780006263363,0.05243974619576536,0.08803641003837134,-0.133856992266796
EX_HF_abs_FFT_log,0.1989199480342007,0.15559276055682142,-0.1447977050662227,0.1554199393074942,0.09588689705829684,0.03535619894303453,-0.04899301922606457,-0.017051134790021433,0.021279904735836408,-0.01698283068455795,-0.03911176433562896,0.02018929056848788,0.03227645347714994,-0.1063873334083752,0.07258314657087139,0.0988658608487053,-0.09876190530976758
EX_LF_HF_ratio_FFT,-0.058953074184794806,-0.1409610186367696,0.17749789470234142,0.13554585422707272,-0.3556307257463262,-0.021119191126639236,-0.08963139909842768,0.0624606397793388,-0.06699622583002113,0.080462502412032,0.16765291378637123,-0.15702647564625127,-0.016076508726691113,-0.1726932153322957,0.1423227685318387,-0.19363325162184977,0.7402568522077082
EX_VLF_abs_FFT_log,0.1725583089506001,0.10074915131889638,0.06532545489962159,0.29691844616208696,-0.11069455047002788,0.13361858980116315,-0.15228367377123989,0.013518920241647747,-0.05466915356172385,-0.06410776005737509,0.04686457320627546,0.01560212072047329,0.08095873741839545,-0.041799180109251044,0.08097916412373102,0.04287454611004077,-0.16604816015009025
EX_Total_power_FFT_log,0.20017654757058773,0.13020332456901879,-0.04824922308142204,0.25829584247568244,-0.03140621505373081,0.07448352469417041,-0.09522525815754579,-0.011150987475084778,-0.0019261740225613444,-0.020823290841743076,-0.010507225255433905,-0.02123962908501644,0.03164823876657194,-0.14670800310678894,0.07201762614327556,0.07407581597763752,-0.06750522289463136
EX_LF_nu_FFT,-0.13410598549337457,-0.09071349236044414,0.3016304111406715,0.12711433356295404,-0.26152380944774206,0.0853828918038872,-0.07421027048201209,0.009880889629864109,-0.002318263938397777,-0.04117018311363517,-0.007203694639817515,-0.09290006311420537,-0.006832764187824442,-0.0003679112864325984,-0.12542274943804993,-0.018350954474503328,-0.20136311323346506
EX_HF_nu_FFT,0.13408068455677355,0.09092644184575291,-0.3013596120416124,-0.12693365794248065,0.26165600776941056,-0.0851773712482782,0.0745926630569555,-0.010049692998420956,0.002406826700008302,0.040663830756920955,0.00666689084436331,0.09289279828209052,0.007070708518438329,-0.00012157479046517872,0.1252737950758479,0.01946963544751376,0.20184705278840812
EX_SD1_ms_log,0.20705680864863818,0.17347211624704598,-0.11707372240659901,0.07484127432140915,0.06792010236627406,0.03950182349619091,-0.024520096704736483,-0.016979460907512622,-0.03545210854188635,-0.052289758013913695,-0.005825533216605783,0.01663092611374043,-0.08329490292998518,-0.05180314360985855,-0.02077249720645806,-0.05061771003830515,0.1485599613740622
EX_SD2_ms_log,0.2134440439625516,-0.008540860642120986,-0.052113199713442485,0.16811682399603506,-0.06633477246341987,0.07603791194816119,0.14897463669325173,0.3079923034837726,-0.020156318317117783,0.04842246187064364,-0.05593401165010448,0.02771573731607728,-0.0450046431574489,-0.03281222588000684,0.06040128996638833,-0.03582838624292163,-0.0008470842379680044
EX_SD2_SD1_ratio_log,-0.12277701868321159,-0.17169058252759864,0.20765513909786054,0.1500840757035193,-0.24755096127149365,0.02380136626420515,-0.02007999976434549,0.01649513932425839,-0.029895600453914456,0.07926287168258986,0.003245361170834661,-0.11871338602091085,0.05228629695503981,0.05461513749047864,0.031106421382716545,0.0142893164295253,-0.2517645651984693
EX_SampEn_log,-0.09359490392708858,-0.11266552389063737,0.3151134752119419,-0.07965261516303934,0.197060540821265,0.18529658944504035,-0.03112969729372922,0.017361487004915854,0.16112959566114798,-0.09373647206006544,-0.1798622126352562,0.1020363760682463,-0.06821337040686482,0.12520814909680972,-0.12555831781634702,-0.024764608360890145,-0.020125127580533857
EX_DFA_alpha1,-0.08024912614815642,0.2095792034340091,0.11674491427523295,0.08110220836273124,-0.021015370212030583,-0.059137354840639464,0.33170765629594545,0.5234791008759432,0.011741136074832972,0.0867409930937777,-0.03713200569530266,0.06759578314403016,0.018005086966930983,0.0467868647315271,-0.004030072104446725,-0.013816056896403181,-0.025897130935799817
EX_RQA_RecurrenceRate,-0.07466327354338143,0.2501826610705527,0.09358206393619237,0.05911279701277924,0.006703653575392952,-0.07086368080595958,0.3113112898278279,0.4649682640180482,0.007761237258338258,0.07879538097684402,-0.020774388713457045,0.07284711315444736,0.017799486563657797,0.04945750114845779,-0.005540427864110686,-0.03335148617748873,0.006057713412176834
EX_RQA_Determinism,-0.007908535291975171,0.1082755255110732,-0.17865319393810508,0.13255324297218676,-0.3603295410995886,-0.08067463368535194,0.02694806971539785,-0.12443629421991229,-0.22387348381743744,0.1536104922064746,-0.021064518958147038,0.01552577832900126,-0.04054975851959314,0.664930133168963,0.15492138624233764,0.3782701159715558,0.056375225508543736
REST_RMSSD_ms_log,0.20966510698907542,-0.1875531067330363,0.04491723511242455,-0.09375585862090095,-0.03434585486517689,-0.10139725408881096,0.024315330051489437,0.06166097773344275,-0.06250390456532054,0.06608137932907793,-0.011304694915032186,0.03386542666882107,0.03816473869580381,-0.012797772974959432,0.06014472304688284,-0.019529029312367358,-0.09162987070664128
REST_SDNN_ms_log,0.1932067331389828,0.09657378531756498,0.23161943994788664,-0.08875599898603448,-0.04521870028436931,-0.17539438496538431,0.04886160508063417,-0.12318729855428302,-0.021497527651536022,0.033954055763170815,-0.12539119737731735,0.058470034156330564,-0.03860166880530279,-0.04768065608480947,0.03673793222297282,0.038882309950395995,-0.029685013347447747
REST_pNNxx_pct,0.12582340540807815,-0.09581555342299805,0.27442025663530734,-0.05986772454547574,0.24333664825407286,0.14948806610296736,-0.02399540132449656,0.05914869914127744,-0.026077758320874746,-0.048908317093786347,0.07500652262178018,0.013542862087425278,0.04397825121463937,0.07824387670379185,0.531101709590591,0.0026283445468953393,0.019969730793275853
REST_Mean_RR_ms,0.13571392413441571,-0.29598533081426937,0.05569794282987842,0.03455280286542813,0.0771626214612238,-0.00718514022783173,-0.00020916117637236642,0.12431639552459994,-0.040882114203008975,-0.0021497102357736636,0.00565607445782524,0.052393316888929994,0.06665846906433588,-0.07110157169010328,0.06969176771369036,0.19280289803325662,0.06493758562330848
REST_Mean_HR_bpm,0.0737074769455231,-0.28817649746668644,-0.1994370318127345,-0.030129439065717696,-0.0488651176825359,-0.1027271887346148,0.0021837829967742677,0.12172392142813818,-0.10180571929258454,0.15069988439479987,0.06912039524220116,-0.012846640916701157,0.013836844845481049,0.08898561505696398,-0.009608222962008,-0.2668594651737884,-0.22047777097137133
